Order ID,Ship Date,Ship Mode
CA-2020-136406,2020-04-17,Second Class
CA-2021-112774,2021-09-12,First Class
CA-2021-101945,2021-11-28,Standard Class
CA-2021-100650,2021-07-03,Second Class
CA-2018-155852,2018-03-07,Second Class
CA-2020-113243,2020-06-15,Standard Class
CA-2021-118731,2021-11-22,Second Class
CA-2018-145576,2018-09-18,Second Class
CA-2019-130736,2019-12-09,First Class
CA-2021-137099,2021-12-10,First Class
CA-2021-156951,2021-10-08,Standard Class
CA-2021-164826,2022-01-04,Standard Class
CA-2020-127250,2020-11-07,Standard Class
CA-2019-149713,2019-09-22,Second Class
CA-2021-118640,2021-07-26,Standard Class
CA-2019-132906,2019-09-14,Standard Class
CA-2021-145233,2021-12-05,Standard Class
CA-2019-128139,2019-07-09,Standard Class
US-2020-156986,2020-03-24,Standard Class
CA-2018-135405,2018-01-13,Standard Class
CA-2018-131450,2018-08-15,Standard Class
CA-2020-120180,2020-07-16,First Class
US-2020-100720,2020-07-21,Standard Class
CA-2018-149958,2018-03-19,Standard Class
US-2018-105767,2018-05-27,Standard Class
CA-2020-161816,2020-05-01,First Class
CA-2020-121223,2020-09-13,Second Class
CA-2021-138611,2021-11-17,Second Class
CA-2021-117947,2021-08-23,Second Class
US-2018-111171,2018-12-31,Standard Class
CA-2019-138009,2019-12-03,Standard Class
CA-2021-163020,2021-09-19,Standard Class
CA-2021-153787,2021-05-23,Standard Class
CA-2021-133431,2021-12-21,Standard Class
US-2020-135720,2020-12-13,Second Class
CA-2021-144694,2021-09-26,Second Class
CA-2019-168004,2019-10-09,Second Class
US-2020-123470,2020-08-21,Standard Class
CA-2020-115917,2020-05-25,Standard Class
CA-2020-147067,2020-12-22,Standard Class
CA-2021-167913,2021-08-03,Second Class
CA-2021-106103,2021-06-15,Standard Class
US-2021-127719,2021-07-25,Standard Class
CA-2021-126221,2022-01-05,Standard Class
CA-2020-103947,2020-04-08,Standard Class
CA-2020-160745,2020-12-16,Second Class
CA-2020-132661,2020-10-29,Standard Class
CA-2021-140844,2021-06-23,Standard Class
CA-2020-137239,2020-08-28,Standard Class
US-2020-156097,2020-09-19,Same Day
CA-2019-146563,2019-08-28,Standard Class
CA-2020-123666,2020-03-30,Standard Class
CA-2020-143308,2020-11-04,Same Day
CA-2021-132682,2021-06-10,Second Class
CA-2018-156314,2018-12-26,First Class
US-2021-106663,2021-06-13,Standard Class
CA-2021-111178,2021-06-22,Standard Class
CA-2021-130351,2021-12-08,First Class
US-2021-119438,2021-03-23,Standard Class
CA-2020-164511,2020-11-24,Standard Class
US-2021-168116,2021-11-04,Same Day
CA-2018-157784,2018-07-08,First Class
CA-2021-161480,2021-12-29,Standard Class
US-2018-117135,2018-06-23,Second Class
CA-2019-131534,2019-04-02,Standard Class
CA-2019-119291,2019-05-17,First Class
CA-2021-114552,2021-09-08,Standard Class
CA-2020-163755,2020-11-08,Second Class
CA-2019-142027,2019-04-14,Standard Class
CA-2018-138527,2018-09-17,Standard Class
CA-2018-112158,2018-12-04,First Class
CA-2018-113887,2018-04-07,First Class
CA-2021-146136,2021-09-07,Standard Class
US-2021-100048,2021-05-24,Standard Class
CA-2018-153150,2018-07-06,Second Class
CA-2018-130092,2018-01-14,First Class
CA-2021-108910,2021-09-29,Standard Class
CA-2018-104472,2018-06-07,Standard Class
CA-2020-112942,2020-02-18,Standard Class
CA-2020-142335,2020-12-19,Standard Class
CA-2018-117429,2018-10-13,Standard Class
CA-2020-114713,2020-07-12,Standard Class
CA-2021-144113,2021-09-20,Standard Class
US-2020-150861,2020-12-06,First Class
CA-2021-131954,2021-01-25,Standard Class
CA-2018-132500,2018-09-12,Standard Class
CA-2018-112326,2018-01-08,Standard Class
US-2020-146710,2020-09-01,Standard Class
CA-2018-124429,2018-05-27,Same Day
CA-2020-150889,2020-03-22,Second Class
CA-2021-126074,2021-10-06,Standard Class
CA-2020-110499,2020-04-09,First Class
CA-2019-135272,2019-12-12,Standard Class
CA-2020-140928,2020-09-22,Standard Class
CA-2018-106803,2019-01-02,Standard Class
CA-2021-117240,2021-07-28,Standard Class
CA-2021-133333,2021-09-22,Standard Class
CA-2019-112319,2019-09-05,Standard Class
CA-2021-126046,2021-11-07,Standard Class
CA-2019-114923,2019-02-13,Standard Class
CA-2018-162775,2018-01-15,Second Class
CA-2018-106810,2018-05-20,Standard Class
CA-2020-157245,2020-05-24,Standard Class
CA-2021-104220,2021-02-05,Standard Class
CA-2018-165974,2018-07-06,Standard Class
CA-2019-144267,2019-08-23,First Class
US-2019-157014,2019-10-06,Second Class
CA-2019-154921,2019-05-28,Standard Class
CA-2021-129567,2021-03-21,Second Class
CA-2019-154620,2019-12-16,Standard Class
CA-2019-115938,2019-06-30,Standard Class
CA-2020-105256,2020-05-20,Same Day
CA-2018-156433,2018-09-26,Standard Class
CA-2021-151428,2021-09-26,Standard Class
CA-2019-124653,2019-12-26,First Class
CA-2019-101910,2019-12-03,Standard Class
CA-2021-105809,2021-02-23,First Class
CA-2020-136133,2020-08-23,Second Class
CA-2020-115504,2020-03-17,Standard Class
CA-2021-135783,2021-04-24,First Class
CA-2018-134313,2018-11-07,Standard Class
CA-2019-140921,2019-02-05,First Class
CA-2018-151995,2018-10-15,First Class
CA-2021-143686,2021-05-14,Same Day
CA-2019-106565,2019-03-23,First Class
CA-2020-149370,2020-09-19,Standard Class
CA-2018-140858,2018-07-02,Standard Class
CA-2021-101434,2021-06-27,Standard Class
US-2018-102071,2018-05-15,Standard Class
CA-2021-126956,2021-08-28,Standard Class
CA-2021-129462,2021-06-21,Second Class
CA-2020-165316,2020-07-27,Standard Class
US-2018-115987,2018-09-13,Second Class
US-2021-156083,2021-11-11,Standard Class
US-2020-137547,2020-03-12,Standard Class
CA-2019-100454,2019-11-25,Standard Class
CA-2020-161669,2020-11-09,First Class
CA-2019-114300,2019-10-17,Standard Class
CA-2021-107503,2021-01-06,Standard Class
CA-2018-107755,2018-02-12,Standard Class
CA-2020-152534,2020-06-25,Second Class
CA-2020-113747,2020-06-04,Standard Class
CA-2020-123274,2020-02-24,Standard Class
CA-2018-125612,2018-08-08,Standard Class
CA-2021-161984,2021-04-15,Standard Class
CA-2018-133851,2018-06-16,Standard Class
CA-2020-134474,2020-01-07,Second Class
CA-2018-149020,2018-01-15,Standard Class
CA-2020-134362,2020-10-02,First Class
CA-2018-136742,2018-04-10,Standard Class
CA-2020-158099,2020-09-05,First Class
CA-2019-131128,2019-10-20,First Class
CA-2018-148488,2018-12-15,Standard Class
CA-2021-114636,2021-08-29,Standard Class
CA-2020-116736,2020-01-21,Standard Class
US-2018-158638,2018-09-21,Standard Class
CA-2021-111689,2021-12-02,Second Class
CA-2019-129098,2019-10-13,Standard Class
US-2021-123463,2021-12-23,Same Day
CA-2020-165148,2020-10-24,First Class
CA-2018-134061,2018-05-04,Standard Class
CA-2019-143602,2019-04-28,Second Class
CA-2021-115364,2021-07-02,Standard Class
CA-2021-150707,2021-10-19,Standard Class
CA-2018-104976,2018-12-16,Standard Class
CA-2021-132934,2021-06-26,Standard Class
CA-2021-133256,2021-06-27,First Class
CA-2020-105494,2020-11-12,First Class
CA-2020-140634,2020-10-06,Second Class
CA-2018-144407,2018-09-15,Standard Class
CA-2021-160983,2021-10-31,Second Class
US-2020-114622,2020-04-12,First Class
CA-2021-150959,2021-11-13,First Class
CA-2021-132353,2021-09-17,First Class
CA-2020-130477,2020-04-12,Standard Class
CA-2021-143259,2022-01-03,Standard Class
CA-2021-137596,2021-09-07,Standard Class
CA-2019-133627,2019-06-07,Standard Class
CA-2021-102519,2021-11-29,First Class
US-2018-141215,2018-06-21,Standard Class
CA-2020-165218,2020-03-11,Standard Class
CA-2018-138296,2018-12-12,Standard Class
CA-2019-111164,2019-04-15,Standard Class
CA-2020-149797,2020-09-20,Standard Class
CA-2018-132962,2018-09-16,First Class
CA-2019-115091,2019-10-09,Standard Class
CA-2021-144932,2021-04-17,First Class
CA-2021-114216,2021-09-06,Standard Class
CA-2020-140081,2020-06-24,Standard Class
US-2021-111745,2021-11-06,First Class
CA-2019-148250,2019-12-17,Standard Class
CA-2020-105760,2020-06-20,First Class
CA-2020-142958,2020-12-20,Standard Class
CA-2019-120880,2019-06-03,Standard Class
US-2019-140200,2019-07-28,First Class
US-2021-110576,2021-12-02,Standard Class
CA-2021-131156,2021-04-07,Standard Class
CA-2021-136539,2022-01-01,Standard Class
CA-2021-119305,2021-12-04,Standard Class
CA-2021-102414,2021-05-18,Second Class
CA-2019-112571,2019-09-22,Same Day
CA-2021-152142,2021-11-19,Standard Class
CA-2019-160059,2019-12-01,Standard Class
CA-2020-120859,2020-09-04,First Class
CA-2018-127488,2018-09-24,Second Class
CA-2021-135279,2021-04-11,First Class
CA-2018-115791,2018-01-18,Second Class
US-2021-103247,2021-10-08,Second Class
US-2021-100209,2021-07-15,Standard Class
CA-2021-159366,2021-01-10,First Class
CA-2020-145499,2020-05-31,First Class
CA-2019-157035,2019-12-12,First Class
CA-2020-144939,2020-10-08,Standard Class
CA-2018-163419,2018-11-14,Second Class
CA-2021-100314,2021-10-05,Standard Class
CA-2019-146829,2019-03-10,Same Day
CA-2021-167899,2021-05-26,Standard Class
CA-2019-153549,2019-03-31,Second Class
CA-2020-110023,2020-09-11,First Class
CA-2020-105585,2020-08-27,First Class
CA-2018-117639,2018-05-25,Standard Class
CA-2019-162537,2019-11-03,Standard Class
CA-2020-155488,2020-11-17,Standard Class
CA-2019-124891,2019-07-31,Same Day
CA-2019-126445,2019-08-31,Standard Class
CA-2019-111199,2019-11-17,Standard Class
CA-2019-105312,2019-11-09,First Class
US-2021-106705,2022-01-01,Standard Class
CA-2021-135034,2021-08-03,First Class
CA-2018-158540,2018-11-26,First Class
CA-2021-118437,2021-06-21,Second Class
US-2019-126214,2019-12-24,Second Class
CA-2019-133025,2019-09-19,Second Class
CA-2019-108665,2019-07-10,Standard Class
CA-2019-124450,2019-05-03,Standard Class
CA-2019-167269,2019-06-20,Standard Class
CA-2021-106964,2021-12-20,First Class
CA-2020-126529,2020-01-13,Second Class
CA-2018-163552,2018-07-15,Standard Class
CA-2020-109820,2020-11-22,First Class
CA-2020-113061,2020-04-26,Standard Class
CA-2019-127418,2019-06-14,First Class
CA-2021-121818,2021-11-21,First Class
CA-2020-127670,2020-03-24,Standard Class
CA-2020-102981,2020-09-09,Second Class
CA-2021-115651,2021-07-12,First Class
CA-2021-152702,2021-10-16,Standard Class
CA-2020-169103,2020-03-13,Standard Class
CA-2018-139192,2018-06-01,Second Class
US-2019-153500,2019-07-05,First Class
CA-2019-110667,2019-04-08,Standard Class
CA-2021-167150,2021-12-17,Standard Class
CA-2020-105284,2020-12-01,Standard Class
US-2019-125374,2019-03-29,Standard Class
CA-2019-161263,2019-04-21,Standard Class
CA-2020-157686,2020-10-02,First Class
US-2021-139955,2021-09-30,Second Class
US-2019-150161,2019-07-29,Standard Class
CA-2019-144652,2019-11-26,Standard Class
CA-2020-152814,2020-05-02,Standard Class
CA-2021-106943,2021-11-19,Standard Class
CA-2020-134348,2020-11-19,Standard Class
CA-2020-161781,2020-09-30,First Class
CA-2021-132521,2021-09-25,Second Class
CA-2019-110016,2019-12-04,Standard Class
US-2020-143819,2020-03-05,Standard Class
CA-2020-167584,2020-08-12,Same Day
CA-2020-166163,2020-08-20,Second Class
CA-2021-158407,2021-06-10,Standard Class
CA-2019-143490,2019-12-13,Standard Class
CA-2019-165085,2019-12-31,Standard Class
CA-2021-160423,2021-01-26,Standard Class
CA-2018-159338,2018-06-28,First Class
CA-2020-107216,2020-06-17,First Class
US-2021-145863,2021-04-27,Standard Class
CA-2020-112340,2020-10-27,Standard Class
US-2020-110156,2020-11-24,Standard Class
CA-2021-140585,2021-12-23,Second Class
CA-2020-144855,2020-07-24,Second Class
CA-2019-142755,2019-09-08,Standard Class
US-2018-147627,2018-01-26,Standard Class
CA-2019-105970,2019-03-07,Standard Class
CA-2020-112102,2020-04-16,Standard Class
US-2020-114776,2020-12-07,First Class
US-2020-134908,2020-06-09,Standard Class
US-2020-148803,2020-12-11,Same Day
CA-2020-152170,2020-11-15,Second Class
CA-2018-146969,2018-10-03,Standard Class
CA-2019-112452,2019-04-04,Same Day
CA-2019-113971,2019-05-14,Standard Class
CA-2020-160395,2021-01-06,Standard Class
CA-2018-136567,2018-12-21,First Class
CA-2020-149314,2020-07-07,Second Class
CA-2021-147039,2021-07-04,Standard Class
CA-2018-126522,2018-09-05,Second Class
CA-2018-127964,2018-03-08,Standard Class
CA-2018-117709,2018-05-08,Standard Class
CA-2019-125416,2019-11-02,Same Day
CA-2021-145226,2021-12-10,Second Class
US-2018-100279,2018-03-14,Standard Class
CA-2018-158064,2018-04-25,Standard Class
US-2019-104430,2019-10-26,Standard Class
CA-2019-132080,2019-08-25,First Class
CA-2020-161207,2020-09-03,Standard Class
CA-2018-120243,2018-12-30,Second Class
CA-2020-113621,2020-12-05,Standard Class
CA-2020-168081,2020-04-27,Second Class
CA-2018-128146,2018-06-25,Standard Class
CA-2021-138779,2021-01-15,First Class
CA-2018-127131,2018-11-30,Standard Class
CA-2021-117212,2021-02-28,Second Class
US-2019-130519,2019-09-15,Same Day
CA-2020-130946,2020-04-12,Standard Class
CA-2020-114727,2020-07-24,Standard Class
CA-2021-133235,2021-08-04,First Class
CA-2020-137050,2020-07-18,Second Class
US-2021-118087,2021-09-13,Standard Class
CA-2018-110184,2018-07-16,Standard Class
CA-2020-126004,2020-12-05,First Class
CA-2021-100013,2021-11-11,Standard Class
CA-2019-132570,2019-11-02,Second Class
CA-2020-153682,2020-06-01,First Class
CA-2020-144344,2020-10-28,Same Day
CA-2018-127012,2018-08-15,Standard Class
CA-2020-128727,2020-09-04,Standard Class
US-2020-162859,2020-02-22,Standard Class
CA-2021-133641,2021-05-21,Standard Class
CA-2018-168494,2018-12-14,Second Class
CA-2021-115602,2021-12-24,Standard Class
CA-2019-154956,2019-07-09,Standard Class
CA-2021-144638,2021-03-14,Standard Class
US-2020-168620,2020-12-28,Second Class
CA-2021-117079,2021-10-27,Standard Class
US-2020-144393,2020-11-04,Standard Class
CA-2021-105053,2021-07-09,Second Class
CA-2020-155992,2020-10-02,First Class
CA-2021-110380,2021-09-07,Standard Class
US-2018-167738,2018-12-29,Standard Class
CA-2021-121412,2021-09-27,Standard Class
CA-2021-100426,2021-06-08,Standard Class
US-2020-103646,2020-04-26,Standard Class
CA-2020-119186,2020-05-26,Same Day
CA-2020-148698,2020-05-07,Standard Class
CA-2018-163293,2018-09-11,First Class
CA-2020-160815,2020-09-06,First Class
CA-2021-122154,2021-04-11,First Class
US-2019-149692,2019-12-12,Standard Class
CA-2020-119445,2020-07-03,Standard Class
CA-2019-124268,2019-07-08,Standard Class
CA-2020-154711,2020-11-26,Standard Class
CA-2020-163384,2020-11-12,First Class
CA-2019-101707,2019-09-01,Standard Class
CA-2019-138898,2019-05-29,Standard Class
CA-2021-115427,2022-01-03,Standard Class
CA-2020-134425,2020-12-12,Second Class
CA-2019-121391,2019-10-07,First Class
CA-2020-137043,2020-12-25,Second Class
CA-2019-115847,2019-09-24,Second Class
US-2021-126179,2021-07-07,Standard Class
CA-2020-101966,2020-07-16,Second Class
CA-2020-141397,2020-06-21,First Class
CA-2020-141082,2020-12-13,Standard Class
US-2020-134488,2020-10-01,Standard Class
CA-2020-145919,2020-12-23,Standard Class
CA-2021-157651,2021-12-14,Standard Class
CA-2018-160773,2018-07-05,Standard Class
CA-2021-167703,2021-02-08,Standard Class
CA-2021-121804,2021-03-08,Standard Class
CA-2021-162635,2021-10-10,First Class
CA-2018-107153,2018-10-03,Standard Class
US-2018-117058,2018-05-30,First Class
CA-2019-120439,2019-06-18,Standard Class
CA-2020-128258,2020-04-01,First Class
CA-2021-106033,2021-10-18,Second Class
CA-2020-142762,2020-05-27,Standard Class
CA-2021-127705,2021-06-06,Standard Class
CA-2018-122567,2018-02-21,Standard Class
CA-2018-121664,2018-05-10,Standard Class
CA-2020-122133,2020-05-23,Standard Class
US-2021-123281,2021-04-07,Standard Class
CA-2021-100524,2021-04-02,Second Class
CA-2021-113481,2021-01-04,First Class
CA-2019-131758,2019-06-01,Standard Class
CA-2018-118339,2018-03-24,Standard Class
CA-2018-153976,2018-10-08,Second Class
CA-2020-162901,2020-03-31,First Class
CA-2021-162978,2021-05-09,Standard Class
US-2018-160444,2018-07-05,Same Day
CA-2020-145247,2020-05-07,First Class
CA-2021-160045,2021-04-27,First Class
US-2018-151925,2018-10-01,Second Class
CA-2021-125199,2021-10-25,Standard Class
US-2021-155425,2021-11-11,First Class
CA-2021-133249,2021-07-11,First Class
US-2019-103471,2019-12-28,Standard Class
CA-2021-136672,2021-03-12,Standard Class
US-2018-157021,2018-04-06,Second Class
CA-2019-120362,2019-09-19,Standard Class
CA-2018-126361,2018-08-09,Second Class
US-2020-100566,2020-09-09,Standard Class
US-2020-108504,2020-02-05,Same Day
